Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-06-12,1170.0,1170.0,1110.0,1115.0,12869100,0.0,0.0
2024-06-13,1120.0,1135.0,1115.0,1120.0,3379500,0.0,0.0
2024-06-14,1120.0,1125.0,1055.0,1060.0,11470900,0.0,0.0
2024-06-19,1060.0,1060.0,1005.0,1005.0,16021300,0.0,0.0
2024-06-20,1010.0,1055.0,1010.0,1045.0,9028800,0.0,0.0
2024-06-21,1050.0,1160.0,1050.0,1155.0,25880800,0.0,0.0
2024-06-24,1155.0,1175.0,1140.0,1150.0,11686900,0.0,0.0
2024-06-25,1155.0,1155.0,1135.0,1150.0,5254900,0.0,0.0
2024-06-26,1150.0,1190.0,1150.0,1180.0,23217000,0.0,0.0
2024-06-27,1185.0,1205.0,1180.0,1200.0,14019300,0.0,0.0
2024-06-28,1205.0,1210.0,1190.0,1190.0,9341600,0.0,0.0
2024-07-01,1195.0,1235.0,1195.0,1220.0,14993900,0.0,0.0
2024-07-02,1220.0,1235.0,1200.0,1210.0,9842200,0.0,0.0
2024-07-03,1215.0,1215.0,1180.0,1200.0,11469100,0.0,0.0
2024-07-04,1205.0,1225.0,1195.0,1200.0,14115900,0.0,0.0
2024-07-05,1200.0,1235.0,1200.0,1230.0,9975000,0.0,0.0
2024-07-08,1240.0,1245.0,1215.0,1230.0,10577000,0.0,0.0
2024-07-09,1235.0,1235.0,1210.0,1220.0,6475300,0.0,0.0
2024-07-10,1225.0,1270.0,1220.0,1260.0,20130600,0.0,0.0
2024-07-11,1260.0,1350.0,1260.0,1285.0,77180500,0.0,0.0
2024-07-12,1295.0,1325.0,1280.0,1285.0,26368400,0.0,0.0
2024-07-15,1295.0,1325.0,1270.0,1275.0,12236200,0.0,0.0
2024-07-16,1275.0,1300.0,1255.0,1285.0,14583400,0.0,0.0
2024-07-17,1285.0,1310.0,1250.0,1260.0,13017800,0.0,0.0
2024-07-18,1265.0,1290.0,1255.0,1285.0,12072600,0.0,0.0
2024-07-19,1290.0,1310.0,1260.0,1290.0,20490200,0.0,0.0
2024-07-22,1280.0,1320.0,1275.0,1295.0,18684400,0.0,0.0
2024-07-23,1300.0,1305.0,1280.0,1280.0,6519600,0.0,0.0
2024-07-24,1285.0,1290.0,1255.0,1275.0,8702300,0.0,0.0
2024-07-25,1275.0,1285.0,1250.0,1270.0,4105400,0.0,0.0
2024-07-26,1270.0,1285.0,1260.0,1265.0,4508300,0.0,0.0
2024-07-29,1280.0,1295.0,1260.0,1285.0,8861700,0.0,0.0
2024-07-30,1285.0,1290.0,1250.0,1280.0,6450300,0.0,0.0
2024-07-31,1280.0,1330.0,1275.0,1315.0,28415900,0.0,0.0
2024-08-01,1325.0,1335.0,1280.0,1285.0,19688100,0.0,0.0
2024-08-02,1285.0,1285.0,1255.0,1255.0,16575200,0.0,0.0
2024-08-05,1250.0,1250.0,1195.0,1210.0,32122700,0.0,0.0
2024-08-06,1215.0,1260.0,1215.0,1245.0,16026200,0.0,0.0
2024-08-07,1250.0,1265.0,1245.0,1250.0,8146400,0.0,0.0
2024-08-08,1250.0,1260.0,1235.0,1240.0,6951300,0.0,0.0
2024-08-09,1250.0,1260.0,1215.0,1230.0,8154400,0.0,0.0
2024-08-12,1230.0,1245.0,1220.0,1230.0,7018800,0.0,0.0
2024-08-13,1245.0,1245.0,1225.0,1225.0,16061300,0.0,0.0
2024-08-14,1230.0,1255.0,1230.0,1250.0,10653700,0.0,0.0
2024-08-15,1255.0,1255.0,1230.0,1235.0,10130900,0.0,0.0
2024-08-16,1235.0,1245.0,1225.0,1230.0,16886700,0.0,0.0
2024-08-19,1230.0,1235.0,1210.0,1215.0,13832200,0.0,0.0
2024-08-20,1215.0,1220.0,1200.0,1205.0,20788100,0.0,0.0
2024-08-21,1205.0,1210.0,1195.0,1200.0,21801600,0.0,0.0
2024-08-22,1200.0,1200.0,1185.0,1190.0,10510000,0.0,0.0
2024-08-23,1190.0,1200.0,1165.0,1175.0,26031300,0.0,0.0
2024-08-26,1175.0,1200.0,1175.0,1185.0,24707700,0.0,0.0
2024-08-27,1185.0,1195.0,1175.0,1180.0,16607900,0.0,0.0
2024-08-28,1180.0,1190.0,1155.0,1155.0,34030200,0.0,0.0
2024-08-29,1160.0,1165.0,1125.0,1125.0,29218200,0.0,0.0
2024-08-30,1125.0,1160.0,1125.0,1145.0,12423400,0.0,0.0
2024-09-02,1150.0,1165.0,1145.0,1145.0,21269300,0.0,0.0
2024-09-03,1150.0,1160.0,1130.0,1130.0,12896600,0.0,0.0
2024-09-04,1130.0,1140.0,1125.0,1135.0,5397100,0.0,0.0
2024-09-05,1135.0,1140.0,1130.0,1140.0,5705600,0.0,0.0
2024-09-06,1140.0,1140.0,1125.0,1130.0,10154600,0.0,0.0
2024-09-09,1130.0,1140.0,1130.0,1130.0,6368400,0.0,0.0
2024-09-10,1130.0,1160.0,1130.0,1150.0,12947900,0.0,0.0
2024-09-11,1155.0,1160.0,1130.0,1130.0,12958500,0.0,0.0
2024-09-12,1135.0,1150.0,1135.0,1140.0,11995100,0.0,0.0
